track_number,explicit,artist_popularity,album_total_tracks,track_duration_min,artist_followers_log,is_album,is_compilation,is_single,track_artist_ratio,dur_Short,dur_Medium,dur_Long,is_collaboration,release_month,Is_Top_50
1,1,-2.836878846,0,0.624266145,-2.789237278,0,0,1,0.316110312,0,1,0,0,10,
1,1,0.319167035,0,0.536203523,0.403178156,0,0,1,2.321280245,0,1,0,0,10,
1,0,0.879110659,0.005555556,0.632093933,0.720221086,0,0,1,1.272644348,0,1,0,0,10,
1,0,-2.633262983,0,0.671232877,-2.345174712,0,0,1,0.308660726,0,0,1,0,10,
1,0,-2.378743154,0,0.57925636,-2.665317287,0,0,1,0.306381576,0,1,0,0,10,
1,0,-2.582359017,0,0.847358121,-2.796542386,0,0,1,0.282223753,0,0,1,0,10,
1,1,0.370071001,0,0.530332681,0.380508406,0,0,1,2.569318709,0,1,0,0,10,
1,0,-1.360663837,0,0.596868885,-1.528900107,0,0,1,0.473902108,0,1,0,0,10,
1,0,-2.531455051,0,0.587084149,-3.081857257,0,0,1,0.404012475,0,1,0,0,10,
1,0,-2.531455051,0,0.42074364,-1.786449486,0,0,1,0.321074189,0,1,0,0,10,
10,0,0.420974967,0.166666667,0.587084149,0.185315882,1,0,0,2.158892895,0,1,0,0,10,
1,0,0.01374324,0,0.520547945,-0.754812968,0,0,1,47.79432354,0,1,0,0,10,
1,0,-0.189872623,0.011111111,0.692759295,-0.817231945,0,0,1,-5.228921484,0,0,1,0,10,
9,0,-2.684166949,0.044444444,0.518590998,-4.045463105,1,0,0,0.271519267,0,1,0,0,10,
1,0,0.166455138,0,0.577299413,0.315897689,0,0,1,8.99164509,0,1,0,0,10,
1,0,-2.887782812,0,0.598825832,-3.989431709,0,0,1,0.325079003,0,1,0,0,10,
1,0,-3.295014538,0,0.577299413,-2.676544904,0,0,1,0.437827621,0,1,0,0,10,
1,0,-2.124223324,0,0.52446184,-2.558193978,0,0,1,0.264020953,0,1,0,0,10,
1,1,-3.193206607,0,0.555772994,-2.778097541,0,0,1,0.451786736,0,1,0,0,10,
1,0,-0.800720213,0,0.465753425,-1.672415092,0,0,1,-0.400851545,0,1,0,0,10,
1,0,-2.327839188,0,0.612524462,-2.672286335,0,0,1,0.240927056,0,1,0,0,10,
1,0,-1.106144008,0,0.557729941,-0.799389313,0,0,1,0.469060787,0,1,0,0,10,
1,0,-1.920607461,0,0.500978474,-3.422168857,0,0,1,0.029651309,0,1,0,0,10,
1,0,-2.582359017,0,0.418786693,-2.119532162,0,0,1,0.282223753,0,1,0,0,10,
1,1,-2.633262983,0,0.457925636,-2.672286335,0,0,1,0.340553407,0,1,0,0,10,
1,0,1.540862215,0.061111111,0.722113503,1.236127237,1,0,0,0.944096535,0,0,1,0,10,
12,1,1.540862215,0.061111111,0.772994129,1.236224006,1,0,0,1.107605762,0,0,1,1,10,
1,0,-0.59710435,0,0.622309198,-0.883568277,0,0,1,-0.045274052,0,1,0,0,10,
1,0,-2.226031256,0,0.40704501,-1.624683482,0,0,1,0.440581668,0,1,0,0,10,
1,0,-2.78597488,0,0.610567515,-3.344037154,0,0,1,0.41231962,0,1,0,0,10,
1,0,-1.666087632,0,0.661448141,-1.856450627,0,0,1,0.261010753,0,1,0,0,10,
1,1,-2.124223324,0,0.553816047,-2.694195027,0,0,1,0.264020953,0,1,0,0,10,
2,0,-2.989590743,0.033333333,0.536203523,-3.308537521,1,0,0,0.342100122,0,1,0,0,10,
6,0,1.540862215,0.061111111,0.704500978,1.236027391,1,0,0,1.080354224,0,0,1,0,10,
1,1,-1.920607461,0,0.410958904,-2.228946212,0,0,1,0.313874865,0,1,0,0,10,
3,0,1.540862215,0.061111111,0.753424658,1.236127237,1,0,0,1.216611913,0,0,1,0,10,
1,0,-2.531455051,0.005555556,0.477495108,-2.645310972,0,0,1,0.221548245,0,1,0,0,10,
11,1,1.540862215,0.061111111,0.577299413,1.236224006,1,0,0,1.053102686,0,1,0,0,10,
1,1,-1.055240042,0.005555556,0.422700587,-1.750858007,0,0,1,-0.10520372,0,1,0,0,10,
1,0,-2.327839188,0,0.473581213,-2.008765246,0,0,1,0.222888478,0,1,0,0,10,
7,1,1.540862215,0.061111111,0.518590998,1.236027391,1,0,0,1.107605762,0,1,0,0,10,
